state,county,tract,block group,NAME,Unemployed,Income,WhiteRace,BlackRace,IndianAlaskanRace,AsianRace,Population,MaleGender,FemaleGender,HighSchoolEducation,College_Less_1yrEducation,College_More_1YREducation,AssociateDegreeEducation,BachelorDegreeEducation,MasterDegreeEducation,ProfessionalDegreeEducation,DoctorateDegreeEducation
42,045,400301,1,"Block Group 1, Census Tract 4003.01, Delaware County, Pennsylvania",21,296,81,715,0,343,1336,803,533,262,10,318,117,0,49,0,0
42,045,400301,2,"Block Group 2, Census Tract 4003.01, Delaware County, Pennsylvania",36,465,317,1020,0,0,1403,546,857,293,42,129,40,33,0,0,0
42,045,400700,5,"Block Group 5, Census Tract 4007, Delaware County, Pennsylvania",20,178,529,79,0,74,695,382,313,96,13,72,42,98,38,6,45
42,045,400700,1,"Block Group 1, Census Tract 4007, Delaware County, Pennsylvania",7,290,277,827,0,174,1317,759,558,169,65,164,46,75,43,7,0
42,045,400700,4,"Block Group 4, Census Tract 4007, Delaware County, Pennsylvania",78,363,352,711,0,299,1382,778,604,325,70,175,63,132,51,24,7
42,045,400700,3,"Block Group 3, Census Tract 4007, Delaware County, Pennsylvania",18,161,217,245,8,173,656,278,378,68,5,64,0,113,136,0,19
42,045,401000,1,"Block Group 1, Census Tract 4010, Delaware County, Pennsylvania",39,304,1105,84,0,0,1189,544,645,151,40,70,58,228,126,19,16
42,045,401501,2,"Block Group 2, Census Tract 4015.01, Delaware County, Pennsylvania",19,651,1793,118,0,36,1979,964,1015,299,150,218,238,229,44,35,0
42,045,403002,1,"Block Group 1, Census Tract 4030.02, Delaware County, Pennsylvania",38,352,940,175,0,0,1121,529,592,393,74,136,81,130,11,0,0
42,045,402500,3,"Block Group 3, Census Tract 4025, Delaware County, Pennsylvania",99,152,94,826,0,0,920,531,389,196,42,140,21,87,0,0,0
42,045,402500,1,"Block Group 1, Census Tract 4025, Delaware County, Pennsylvania",94,360,0,1476,0,89,1596,686,910,329,52,108,154,57,0,0,0
42,045,403002,2,"Block Group 2, Census Tract 4030.02, Delaware County, Pennsylvania",69,491,1268,264,0,0,1532,738,794,382,83,177,118,121,85,0,0
42,045,409100,3,"Block Group 3, Census Tract 4091, Delaware County, Pennsylvania",50,690,2237,20,0,45,2364,1139,1225,235,141,148,100,463,317,64,31
